Id,Date,SleepRecords,MinutesAsleep,MinutesInBed,MinsAwake,HoursAsleep,HoursInBed,HoursAwake
5553957443,4/30/2016,2,775,843,68,12.92,14.05,1.13
5553957443,5/1/2016,2,622,686,64,10.37,11.43,1.07
5553957443,5/2/2016,1,409,471,62,6.82,7.85,1.03
5553957443,5/3/2016,1,380,429,49,6.33,7.15,0.82
5553957443,5/4/2016,1,447,470,23,7.45,7.83,0.38
5553957443,5/5/2016,1,419,464,45,6.98,7.73,0.75
5553957443,5/6/2016,1,400,434,34,6.67,7.23,0.57
5553957443,5/7/2016,1,442,470,28,7.37,7.83,0.47
5553957443,5/8/2016,1,568,608,40,9.47,10.13,0.67
5553957443,5/9/2016,1,453,494,41,7.55,8.23,0.68
5553957443,5/10/2016,1,418,443,25,6.97,7.38,0.42
5553957443,5/11/2016,1,463,486,23,7.72,8.10,0.38
5553957443,5/12/2016,1,438,475,37,7.30,7.92,0.62
5577150313,4/12/2016,1,419,438,19,6.98,7.30,0.32
5577150313,4/13/2016,1,432,458,26,7.20,7.63,0.43
5577150313,4/14/2016,1,477,497,20,7.95,8.28,0.33
5577150313,4/15/2016,1,392,413,21,6.53,6.88,0.35
5577150313,4/16/2016,1,406,445,39,6.77,7.42,0.65
5577150313,4/17/2016,1,549,583,34,9.15,9.72,0.57
5577150313,4/18/2016,1,527,553,26,8.78,9.22,0.43
5577150313,4/19/2016,1,449,465,16,7.48,7.75,0.27
5577150313,4/20/2016,1,447,480,33,7.45,8.00,0.55
5577150313,4/21/2016,1,414,437,23,6.90,7.28,0.38
5577150313,4/22/2016,1,338,366,28,5.63,6.10,0.47
5577150313,4/23/2016,1,384,402,18,6.40,6.70,0.30
5577150313,4/24/2016,1,543,615,72,9.05,10.25,1.20
5577150313,4/25/2016,1,421,461,40,7.02,7.68,0.67
5577150313,4/26/2016,1,354,377,23,5.90,6.28,0.38
5577150313,4/27/2016,1,424,452,28,7.07,7.53,0.47
5577150313,4/28/2016,1,361,372,11,6.02,6.20,0.18
5577150313,4/29/2016,1,459,485,26,7.65,8.08,0.43
5577150313,4/30/2016,1,412,433,21,6.87,7.22,0.35
5577150313,5/1/2016,1,379,398,19,6.32,6.63,0.32
5577150313,5/2/2016,2,525,553,28,8.75,9.22,0.47
5577150313,5/3/2016,1,508,543,35,8.47,9.05,0.58
5577150313,5/4/2016,1,603,634,31,10.05,10.57,0.52
5577150313,5/5/2016,1,74,78,4,1.23,1.30,0.07
5577150313,5/10/2016,1,504,562,58,8.40,9.37,0.97
5577150313,5/11/2016,1,431,476,45,7.18,7.93,0.75
6117666160,4/16/2016,1,380,398,18,6.33,6.63,0.30
6117666160,4/17/2016,2,336,350,14,5.60,5.83,0.23
6117666160,4/18/2016,2,493,510,17,8.22,8.50,0.28
6117666160,4/19/2016,1,465,492,27,7.75,8.20,0.45
6117666160,4/20/2016,1,474,502,28,7.90,8.37,0.47
6117666160,4/21/2016,1,508,550,42,8.47,9.17,0.70
6117666160,4/22/2016,1,480,546,66,8.00,9.10,1.10
6117666160,4/23/2016,1,492,539,47,8.20,8.98,0.78
6117666160,4/24/2016,1,353,367,14,5.88,6.12,0.23
6117666160,4/27/2016,1,542,557,15,9.03,9.28,0.25
6117666160,4/28/2016,1,393,416,23,6.55,6.93,0.38
6117666160,4/29/2016,1,600,636,36,10.00,10.60,0.60
6117666160,5/1/2016,1,507,575,68,8.45,9.58,1.13
6117666160,5/5/2016,1,392,415,23,6.53,6.92,0.38
6117666160,5/6/2016,2,658,698,40,10.97,11.63,0.67
6117666160,5/7/2016,2,498,507,9,8.30,8.45,0.15
6117666160,5/8/2016,1,555,603,48,9.25,10.05,0.80
6117666160,5/9/2016,1,492,522,30,8.20,8.70,0.50
6775888955,4/13/2016,1,235,260,25,3.92,4.33,0.42
6775888955,4/14/2016,1,423,441,18,7.05,7.35,0.30
6775888955,4/15/2016,1,391,406,15,6.52,6.77,0.25
6962181067,4/12/2016,1,366,387,21,6.10,6.45,0.35
6962181067,4/13/2016,3,630,679,49,10.50,11.32,0.82
6962181067,4/14/2016,2,508,535,27,8.47,8.92,0.45
6962181067,4/15/2016,1,370,386,16,6.17,6.43,0.27
6962181067,4/16/2016,1,357,366,9,5.95,6.10,0.15
6962181067,4/17/2016,1,427,446,19,7.12,7.43,0.32
6962181067,4/18/2016,1,442,458,16,7.37,7.63,0.27
6962181067,4/19/2016,1,476,535,59,7.93,8.92,0.98
6962181067,4/20/2016,1,418,424,6,6.97,7.07,0.10
6962181067,4/21/2016,1,451,457,6,7.52,7.62,0.10
6962181067,4/22/2016,1,425,435,10,7.08,7.25,0.17
6962181067,4/23/2016,1,528,546,18,8.80,9.10,0.30
6962181067,4/24/2016,1,511,514,3,8.52,8.57,0.05
6962181067,4/25/2016,1,400,415,15,6.67,6.92,0.25
6962181067,4/26/2016,1,441,446,5,7.35,7.43,0.08
6962181067,4/27/2016,1,455,467,12,7.58,7.78,0.20
6962181067,4/28/2016,1,440,453,13,7.33,7.55,0.22
6962181067,4/29/2016,1,433,447,14,7.22,7.45,0.23
6962181067,4/30/2016,1,422,424,2,7.03,7.07,0.03
6962181067,5/1/2016,1,411,426,15,6.85,7.10,0.25
6962181067,5/2/2016,1,466,482,16,7.77,8.03,0.27
6962181067,5/3/2016,1,394,418,24,6.57,6.97,0.40
6962181067,5/4/2016,1,442,455,13,7.37,7.58,0.22
6962181067,5/5/2016,1,467,491,24,7.78,8.18,0.40
6962181067,5/6/2016,1,443,462,19,7.38,7.70,0.32
6962181067,5/7/2016,1,298,334,36,4.97,5.57,0.60
6962181067,5/8/2016,1,541,569,28,9.02,9.48,0.47
6962181067,5/9/2016,1,489,497,8,8.15,8.28,0.13
6962181067,5/10/2016,1,469,481,12,7.82,8.02,0.20
6962181067,5/11/2016,1,452,480,28,7.53,8.00,0.47
6962181067,5/12/2016,1,516,535,19,8.60,8.92,0.32
7007744171,4/16/2016,1,79,82,3,1.32,1.37,0.05
7007744171,5/1/2016,1,58,61,3,0.97,1.02,0.05
7086361926,4/12/2016,1,514,525,11,8.57,8.75,0.18
7086361926,4/13/2016,1,451,465,14,7.52,7.75,0.23
7086361926,4/14/2016,1,472,476,4,7.87,7.93,0.07
7086361926,4/15/2016,1,377,386,9,6.28,6.43,0.15
7086361926,4/19/2016,1,472,483,11,7.87,8.05,0.18
7086361926,4/20/2016,1,492,502,10,8.20,8.37,0.17
7086361926,4/21/2016,1,390,411,21,6.50,6.85,0.35
7086361926,4/22/2016,1,428,448,20,7.13,7.47,0.33
7086361926,4/24/2016,1,681,704,23,11.35,11.73,0.38
7086361926,4/25/2016,1,446,447,1,7.43,7.45,0.02
7086361926,4/26/2016,1,485,500,15,8.08,8.33,0.25
7086361926,4/27/2016,1,469,479,10,7.82,7.98,0.17
7086361926,4/28/2016,1,354,367,13,5.90,6.12,0.22
7086361926,4/30/2016,1,485,489,4,8.08,8.15,0.07
7086361926,5/1/2016,1,388,407,19,6.47,6.78,0.32
7086361926,5/2/2016,1,440,459,19,7.33,7.65,0.32
7086361926,5/3/2016,1,456,461,5,7.60,7.68,0.08
7086361926,5/4/2016,1,420,436,16,7.00,7.27,0.27
7086361926,5/6/2016,1,322,333,11,5.37,5.55,0.18
7086361926,5/7/2016,1,530,548,18,8.83,9.13,0.30
7086361926,5/8/2016,1,481,510,29,8.02,8.50,0.48
7086361926,5/9/2016,1,427,438,11,7.12,7.30,0.18
7086361926,5/11/2016,1,451,463,12,7.52,7.72,0.20
7086361926,5/12/2016,1,444,457,13,7.40,7.62,0.22
8053475328,4/20/2016,1,486,493,7,8.10,8.22,0.12
8053475328,4/23/2016,1,331,337,6,5.52,5.62,0.10
8053475328,5/7/2016,1,74,75,1,1.23,1.25,0.02
8378563200,4/12/2016,1,338,356,18,5.63,5.93,0.30
8378563200,4/13/2016,2,447,487,40,7.45,8.12,0.67
8378563200,4/14/2016,1,424,455,31,7.07,7.58,0.52
8378563200,4/15/2016,1,513,533,20,8.55,8.88,0.33
8378563200,4/16/2016,2,611,689,78,10.18,11.48,1.30
8378563200,4/17/2016,2,525,591,66,8.75,9.85,1.10
8378563200,4/18/2016,1,398,451,53,6.63,7.52,0.88
8378563200,4/19/2016,1,387,421,34,6.45,7.02,0.57
8378563200,4/20/2016,1,381,409,28,6.35,6.82,0.47
8378563200,4/21/2016,1,396,417,21,6.60,6.95,0.35
8378563200,4/22/2016,1,441,469,28,7.35,7.82,0.47
8378563200,4/23/2016,1,565,591,26,9.42,9.85,0.43
8378563200,4/24/2016,1,458,492,34,7.63,8.20,0.57
8378563200,4/25/2016,1,388,402,14,6.47,6.70,0.23
8378563200,4/25/2016,1,388,402,14,6.47,6.70,0.23
8378563200,4/26/2016,1,550,584,34,9.17,9.73,0.57
8378563200,4/27/2016,1,531,600,69,8.85,10.00,1.15
8378563200,4/28/2016,1,506,556,50,8.43,9.27,0.83
8378563200,4/29/2016,1,527,562,35,8.78,9.37,0.58
8378563200,4/30/2016,1,468,555,87,7.80,9.25,1.45
8378563200,5/1/2016,1,475,539,64,7.92,8.98,1.07
8378563200,5/2/2016,1,351,385,34,5.85,6.42,0.57
8378563200,5/3/2016,1,405,429,24,6.75,7.15,0.40
8378563200,5/4/2016,1,441,477,36,7.35,7.95,0.60
8378563200,5/5/2016,1,381,417,36,6.35,6.95,0.60
8378563200,5/6/2016,1,323,355,32,5.38,5.92,0.53
8378563200,5/7/2016,2,459,513,54,7.65,8.55,0.90
8378563200,5/8/2016,1,545,606,61,9.08,10.10,1.02
8378563200,5/9/2016,1,359,399,40,5.98,6.65,0.67
8378563200,5/10/2016,1,342,391,49,5.70,6.52,0.82
8378563200,5/11/2016,1,368,387,19,6.13,6.45,0.32
8378563200,5/12/2016,1,496,546,50,8.27,9.10,0.83
8792009665,4/12/2016,1,458,493,35,7.63,8.22,0.58
8792009665,4/13/2016,1,531,552,21,8.85,9.20,0.35
8792009665,4/14/2016,1,486,503,17,8.10,8.38,0.28
8792009665,4/15/2016,1,363,377,14,6.05,6.28,0.23
8792009665,4/20/2016,1,528,547,19,8.80,9.12,0.32
8792009665,4/22/2016,1,391,407,16,6.52,6.78,0.27
8792009665,4/23/2016,1,339,360,21,5.65,6.00,0.35
8792009665,4/27/2016,1,423,428,5,7.05,7.13,0.08
8792009665,4/28/2016,1,402,416,14,6.70,6.93,0.23
8792009665,4/29/2016,1,398,406,8,6.63,6.77,0.13
8792009665,4/30/2016,1,343,360,17,5.72,6.00,0.28
8792009665,5/1/2016,1,503,527,24,8.38,8.78,0.40
8792009665,5/2/2016,1,415,423,8,6.92,7.05,0.13
8792009665,5/3/2016,1,516,545,29,8.60,9.08,0.48
8792009665,5/4/2016,1,439,463,24,7.32,7.72,0.40
